"CD_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASCIMENTO","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
357190,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,S,L6,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
355498,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
355864,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
334055,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,1999,N,A0,ENSINO FUNDAMENTAL,ALFABETIZADO SEM CURSOS REGULARES,N
353980,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,2001,S,L5,ENSINO SUPERIOR,ENSINO MEDIO,N
354252,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
359121,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BUIQUE,PE,BRA,JOAO MOTA,CARUARU,PE,F,2003,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
356901,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAMOCIM DE SAO FELIX,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,M,2004,S,L1,,ENSINO FUNDAMENTAL INCOMPLETO,N
355124,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAPOEIRAS,PE,BRA,CENTRO,SAO BENTO DO UNA,PE,M,2003,S,L5,,ENSINO MEDIO,N
356121,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,ALTINHO,PE,F,2004,S,L1,ENSINO MEDIO,ENSINO MEDIO,N
358414,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,2001,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
355776,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BEZERROS,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
355370,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BEZERROS,PE,F,2003,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
359707,2022,1,DIPLOMADO,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,1989,S,L5,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
358621,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,F,2000,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
358494,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,2001,N,A0,,ENSINO SUPERIOR,N
341084,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SÃO JOÃO DA ESCOCIA,CARUARU,PE,F,2001,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
354066,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,F,2002,N,A0,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
359163,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2003,S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL INCOMPLETO,N
358728,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,2003,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
357655,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
353523,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,1993,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
357286,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,PETROPOLIS,CARUARU,PE,M,2002,N,A0,,ENSINO MEDIO,N
350498,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOVA CARUARU,CARUARU,PE,M,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
355148,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,2004,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
357852,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
356849,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1995,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
350370,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
357253,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,RIACHO DAS ALMAS,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
357572,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,SAO CAITANO,PE,M,2003,S,L6,ENSINO MEDIO,ENSINO SUPERIOR,N
357986,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,DUQUE DE CAXIAS,RJ,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,N,A0,ENSINO FUNDAMENTAL,SEGUNDO GRAU INCOMPLETO,N
354700,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,UNIVERSITARIO,CARUARU,PE,F,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
358784,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CENTRO,JUPI,PE,F,2004,S,L6,ENSINO MEDIO,ENSINO MEDIO,N
357183,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
355067,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
359305,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GOIANA,PE,BRA,DIVINOPOLIS,CARUARU,PE,M,1996,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
357901,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2001,N,A0,ENSINO FUNDAMENTAL,ENSINO SUPERIOR,N
358730,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GUARULHOS,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
357274,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JUAZEIRO DO NORTE,CE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
358902,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JUPI,PE,BRA,CENTRO,JUPI,PE,M,2003,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
356078,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LAJEDO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
356306,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PALMARES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2001,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
356263,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PANELAS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1993,S,L13,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,S
357127,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PESQUEIRA,PE,BRA,CENTRO,PESQUEIRA,PE,F,2001,S,L2,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
354317,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PESQUEIRA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2000,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
309592,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,M,1999,N,A0,ENSINO SUPERIOR,APERFEICOAMENTO,N
357018,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,CUPIRA,PE,M,2003,S,L9,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL INCOMPLETO,S
356083,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,GRAVATA,PE,F,2001,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
355887,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,PASSIRA,PE,F,2002,N,A0,ENSINO SUPERIOR,ENSINO FUNDAMENTAL INCOMPLETO,N
355572,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,LAGOA DA VACA,SURUBIM,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
357882,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,LAGOA DA VACA,SURUBIM,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
358428,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,MATRIZ,VITORIA DE SANTO ANTAO,PE,M,2004,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
358224,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SANHARO,PE,BRA,CENTRO,SANHARO,PE,M,1996,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
294054,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SANHARO,PE,BRA,DR. TONICO,SANHARO,PE,M,1997,N,A0,,,N
354994,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SANTA CRUZ DO CAPIBARIBE,PE,BRA,CENTRO,TORITAMA,PE,M,2001,S,L5,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
338741,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO BENTO DO UNA,PE,BRA,CENTRO,SAO BENTO DO UNA,PE,F,1999,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
356206,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO BENTO DO UNA,PE,BRA,CENTRO,SAO BENTO DO UNA,PE,F,2001,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ANALFABETO,N
357132,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO BENTO DO UNA,PE,BRA,CENTRO,SAO BENTO DO UNA,PE,F,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
359262,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO BENTO DO UNA,PE,BRA,CENTRO,SAO BENTO DO UNA,PE,M,2003,S,L2,ENSINO MEDIO,ENSINO FUNDAMENTAL,N
357259,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO JOAQUIM DO MONTE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
354439,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SÃO PAULO,SP,BRA,INDIANOPOLIS,CARUARU,PE,M,2000,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
358157,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,SÃO SEBASTIÃO,SURUBIM,PE,F,2004,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
355691,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,M,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
355029,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,VERTENTES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L1,ENSINO MEDIO,ENSINO MEDIO,N
331358,2022,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,VITORIA DE SANTO ANTAO,PE,BRA,VASSOURAL,CARUARU,PE,M,2000,S,L6,,SUPERIOR INCOMPLETO,N
355756,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,AGRESTINA,PE,BRA,CENTRO,AGRESTINA,PE,M,2002,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
349024,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,ARCOVERDE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L5,ENSINO SUPERIOR,ENSINO MEDIO,N
355778,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BOM JARDIM,PE,BRA,CENTRO,BOM JARDIM,PE,F,2000,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
356545,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BONITO,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
354674,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BREJO DA MADRE DE DEUS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
356334,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CACHOEIRINHA,PE,BRA,VILA SÃO SEBASTIÃO,CACHOEIRINHA,PE,M,2002,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
356122,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CACHOEIRINHA,PE,BRA,CENTRO,CACHOEIRINHA,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
358588,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,AGRESTINA,PE,M,2000,S,L2,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
356031,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2002,N,A0,ENSINO SUPERIOR,ENSINO MEDIO,N
357210,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,1985,S,L10,,ENSINO FUNDAMENTAL INCOMPLETO,S
353462,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,1999,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO MEDIO,N
356008,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,SAO FRANCISCO,CARUARU,PE,M,2002,S,L1,SEGUNDO GRAU INCOMPLETO,ENSINO MEDIO,N
356977,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,2003,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
353738,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
357294,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,PANELAS,PE,M,2001,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
345020,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
358629,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,S,L2,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
353486,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,RIACHO DAS ALMAS,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
359761,2022,1,DIPLOMADO,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GRAVATA,PE,BRA,PETROPOLIS,CARUARU,PE,M,1975,S,L5,ENSINO SUPERIOR,ENSINO FUNDAMENTAL INCOMPLETO,N
319070,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GRAVATA,PE,BRA,QUINZE DE NOVEMBRO,GRAVATA,PE,M,2000,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
326911,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GRAVATA,PE,BRA,CENTRO,GRAVATA,PE,M,2001,N,A0,,ENSINO FUNDAMENTAL,N
355453,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GRAVATA,PE,BRA,BAIRRO NOVO,GRAVATA,PE,M,2004,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
356378,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,IPORANGA,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,S,L1,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
356171,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,JOAO ALFREDO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,S,L5,ENSINO SUPERIOR,ENSINO SUPERIOR,N
359653,2022,1,DIPLOMADO,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,JUPI,PE,BRA,BOA VISTA,CARUARU,PE,M,1983,S,L5,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
356366,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,LAJEDO,PE,BRA,COHAB,LAJEDO,PE,M,2003,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
355549,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,LIMOEIRO,PE,BRA,CENTRO,LIMOEIRO,PE,F,2004,N,A0,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
354926,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,LIMOEIRO,PE,BRA,CENTRO,LIMOEIRO,PE,M,2003,N,A0,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
355230,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,LIMOEIRO,PE,BRA,CENTRO,PASSIRA,PE,M,2003,S,L6,SEGUNDO GRAU INCOMPLETO,ENSINO MEDIO,N
357119,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,PALMARES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2002,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
358110,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,PALMARES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,S,L2,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
355413,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,PANELAS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
355811,2022,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,PESQUEIRA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,N,A0,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
